BLC_ID;BLC_NAME;NADSKUPINA_ID;NADSKUPINA_NAME;SPU_ID;SPU_NAME;PU_ID;PU_NAME;POL_ID;POL_NAME;PRG_ID;PRG_NAME;POD_ID;POD_NAME;Znesek
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;11;PREDSEDNIK REPUBLIKE SLOVENIJE;1111;Predsednik Republike Slovenije;1;POLITIČNI SISTEM;101;Politični sistem;10101;Dejavnost predsednika Republike Slovenije;2288856
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;11;PREDSEDNIK REPUBLIKE SLOVENIJE;1111;Predsednik Republike Slovenije;1;POLITIČNI SISTEM;101;Politični sistem;10102;Dejavnost bivšega predsednika Republike Slovenije;22500
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;121;DRŽAVNI ZBOR;1211;Državni zbor;1;POLITIČNI SISTEM;101;Politični sistem;10103;Dejavnost državnega zbora;25172629,87
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;122;DRŽAVNI SVET;1212;Državni svet;1;POLITIČNI SISTEM;101;Politični sistem;10104;Dejavnost državnega sveta;1903681
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;123;DRŽAVNA VOLILNA KOMISIJA;1213;Državna volilna komisija;1;POLITIČNI SISTEM;101;Politični sistem;10105;Izvedba in nadzor volitev in referendumov;3924456,62
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;124;VARUH ČLOVEKOVIH PRAVIC;1214;Varuh človekovih pravic;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10203;Odprava in preprečevanje kršitev človekovih pravic;1987391
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;124;VARUH ČLOVEKOVIH PRAVIC;1214;Varuh človekovih pravic;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10206;Izvajanje opcijskega sporazuma;166400
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;125;INFORMACIJSKI POOBLAŠČENEC;1215;Informacijski pooblaščenec;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10205;Dostop do informacij javnega značaja in varstvo osebnih podatkov;1504720,76
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;127;NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU;1217;Nacionalna agencija RS za kakovost v visokem šolstvu;19;IZOBRAŽEVANJE IN ŠPORT;1905;Višje in visokošolsko izobraževanje;190503;Spodbujanje kakovosti v visokem šolstvu;1235484
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;131;USTAVNO SODIŠČE;1311;Ustavno sodišče;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10202;Dejavnost ustavnega sodišča;4227860
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;132;RAČUNSKO SODIŠČE;1312;Računsko sodišče;2;EKONOMSKA IN JAVNOFINANČNA POLITIKA;203;Fiskalni nadzor;20301;Dejavnost računskega sodišča;5773921
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;134;DRŽAVNA REVIZIJSKA KOMISIJA;1314;Državna revizijska komisija;2;EKONOMSKA IN JAVNOFINANČNA POLITIKA;203;Fiskalni nadzor;20302;Pravno varstvo in nadzor v postopkih oddaje javnih naročil;1194087,42
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;135;KOMISIJA ZA PREPREČEVANJE KORUPCIJE;1315;Komisija za preprečevanje korupcije;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10204;Odprava in preprečevanje koruptivnih dejanj;1716340
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;137;FISKALNI SVET;1317;Fiskalni svet;2;EKONOMSKA IN JAVNOFINANČNA POLITIKA;203;Fiskalni nadzor;20307;Dejavnost fiskalnega sveta;500000
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;138;ZAGOVORNIK NAČELA ENAKOSTI;1318;Zagovornik načela enakosti;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10203;Odprava in preprečevanje kršitev človekovih pravic;180239
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;39;SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI;3911;Slovenska akademija znanosti in umetnosti;5;ZNANOST IN INFORMACIJSKA DRUŽBA;502;Znanstveno raziskovalna dejavnost;50203;Znanstveno raziskovalna dejavnost Slovenske akademije znanosti in umetnosti;221955
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;39;SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI;3911;Slovenska akademija znanosti in umetnosti;5;ZNANOST IN INFORMACIJSKA DRUŽBA;503;Človeški viri v podporo znanosti;50301;Podporna dejavnost Slovenske akademije znanosti in umetnosti;1443977
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;39;SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI;3911;Slovenska akademija znanosti in umetnosti;5;ZNANOST IN INFORMACIJSKA DRUŽBA;503;Človeški viri v podporo znanosti;50304;Članske nagrade akademikom;1200470
A;Bilanca odhodkov;2;VLADNI PRORAČUNSKI UPORABNIKI;14;KABINET PREDSEDNIKA VLADE;1411;Kabinet predsednika vlade;1;POLITIČNI SISTEM;103;Podpora delovanju vlade;10301;Delovanje predsednika vlade;1352907
A;Bilanca odhodkov;2;VLADNI PRORAČUNSKI UPORABNIKI;15;VLADNE SLUŽBE;1511;Generalni sekretariat vlade;1;POLITIČNI SISTEM;103;Podpora delovanju vlade;10302;Delovanje vlade;5630094,19
